shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SH201A,9.9950,-84.0200,24,7.9
SH201A,10.0027,-84.1219,25,8.2
SH201B,10.0027,-84.1219,1,0
SH201B,10.0000,-84.1180,2,0.3
SH201B,9.9950,-84.1140,3,0.6
SH201B,9.9900,-84.1100,4,0.9
SH201B,9.9850,-84.1050,5,1.2
SH201B,9.9800,-84.1000,6,1.5
SH201B,9.9750,-84.0950,7,1.8
SH201B,9.9700,-84.0900,8,2.1
SH201B,9.9650,-84.0850,9,2.4
SH201B,9.9600,-84.0800,10,2.7
SH201B,9.9550,-84.0750,11,3.0
SH201B,9.9500,-84.0700,12,3.3
SH201B,9.9450,-84.0680,13,3.5
SH201B,9.9400,-84.0650,14,3.8
SH201B,9.9350,-84.0630,15,4.0
SH201B,9.9320,-84.0600,16,4.3
SH201B,9.9300,-84.0700,17,5.0
SH201B,9.9281,-84.0907,18,5.5
SH301A,9.9281,-84.0907,1,0
SH301A,9.9265,-84.0850,2,0.5
SH301A,9.9250,-84.0800,3,1.0
SH301A,9.9240,-84.0750,4,1.5
SH301A,9.9220,-84.0700,5,2.0
SH301A,9.9200,-84.0650,6,2.5
SH301A,9.9170,-84.0600,7,3.0
SH301A,9.9140,-84.0550,8,3.5
SH301A,9.9100,-84.0500,9,4.0
SH301A,9.9100,-84.0400,10,4.8
SH301A,9.9080,-84.0300,11,5.5
SH301A,9.9060,-84.0200,12,6.2
SH301A,9.9050,-84.0100,13,6.8
SH301A,9.9040,-84.0000,14,7.5
SH301A,9.9050,-83.9930,15,8.0
SH301A,9.9040,-83.9870,16,8.5
SH301A,9.8970,-83.9650,17,9.5
SH301A,9.8900,-83.9500,18,10.5
SH301A,9.8800,-83.9380,19,11.5
SH301A,9.8700,-83.9300,20,12.5
SH301A,9.8639,-83.9194,21,13.5
SH301B,9.8639,-83.9194,1,0
SH301B,9.8700,-83.9300,2,1.0
SH301B,9.8800,-83.9380,3,2.0
SH301B,9.8900,-83.9500,4,3.0
SH301B,9.8970,-83.9650,5,4.0
SH301B,9.9040,-83.9870,6,5.0
SH301B,9.9050,-83.9930,7,5.5
SH301B,9.9060,-84.0000,8,6.2
SH301B,9.9070,-84.0100,9,6.8
SH301B,9.9080,-84.0200,10,7.5
SH301B,9.9100,-84.0300,11,8.0
SH301B,9.9120,-84.0400,12,8.5
SH301B,9.9150,-84.0500,13,9.0
SH301B,9.9180,-84.0600,14,9.5
SH301B,9.9210,-84.0700,15,10.0
SH301B,9.9240,-84.0780,16,10.8
SH301B,9.9260,-84.0840,17,11.5
SH301B,9.9281,-84.0907,18,12.0
SH102A,9.9281,-84.0907,1,0
SH102A,9.9275,-84.0850,2,0.4
SH102A,9.9270,-84.0800,3,0.8
SH102A,9.9265,-84.0785,4,1.0
SH102A,9.9240,-84.0730,5,1.5
SH102A,9.9210,-84.0680,6,2.0
SH102A,9.9180,-84.0640,7,2.5
SH102A,9.9150,-84.0620,8,3.0
SH102A,9.9110,-84.0600,9,3.3
SH102A,9.9070,-84.0610,10,3.5
SH102A,9.9033,-84.0597,11,3.8
SH102B,9.9033,-84.0597,1,0
SH102B,9.9070,-84.0610,2,0.3
SH102B,9.9110,-84.0600,3,0.6
SH102B,9.9150,-84.0620,4,1.0
SH102B,9.9180,-84.0640,5,1.3
SH102B,9.9210,-84.0680,6,1.6
SH102B,9.9240,-84.0730,7,2.0
SH102B,9.9265,-84.0785,8,2.3
SH102B,9.9270,-84.0820,9,2.6
SH102B,9.9281,-84.0907,10,3.0
SH103A,9.9281,-84.0907,1,0
SH103A,9.9290,-84.0930,2,0.3
SH103A,9.9300,-84.0950,3,0.5
SH103A,9.9310,-84.0980,4,0.8
SH103A,9.9300,-84.1020,5,1.1
SH103A,9.9280,-84.1070,6,1.5
SH103A,9.9260,-84.1120,7,1.9
SH103A,9.9240,-84.1180,8,2.3
SH103A,9.9220,-84.1250,9,2.8
SH103A,9.9206,-84.1300,10,3.2
SH103A,9.9206,-84.1350,11,3.5
SH103A,9.9206,-84.1403,12,3.8
SH103B,9.9206,-84.1403,1,0
SH103B,9.9206,-84.1350,2,0.3
SH103B,9.9206,-84.1300,3,0.6
SH103B,9.9220,-84.1220,4,1.0
SH103B,9.9240,-84.1150,5,1.4
SH103B,9.9260,-84.1080,6,1.8
SH103B,9.9280,-84.1020,7,2.2
SH103B,9.9300,-84.0970,8,2.6
SH103B,9.9290,-84.0940,9,2.9
SH103B,9.9281,-84.0907,10,3.2
