trip_id,stop_id,arrival_time,departure_time,stop_sequence
T301B_SA,INT003,08:05:00,08:06:00,4
T301B_SA,SJO004,08:15:00,08:16:00,5
T301B_SA,SJO001,08:22:00,08:22:00,6
T102A_WD,SJO001,05:20:00,05:20:00,1
T102A_WD,SJO003,05:23:00,05:24:00,2
T102A_WD,SJO005,05:26:00,05:27:00,3
T102A_WD,DESA004,05:30:00,05:31:00,4
T102A_WD,DESA005,05:34:00,05:35:00,5
T102A_WD,DESA006,05:37:00,05:38:00,6
T102A_WD,DESA001,05:40:00,05:40:00,7
T102B_WD,DESA001,05:45:00,05:45:00,1
T102B_WD,DESA006,05:48:00,05:49:00,2
T102B_WD,DESA005,05:51:00,05:52:00,3
T102B_WD,DESA004,05:54:00,05:55:00,4
T102B_WD,SJO005,05:58:00,05:59:00,5
T102B_WD,SJO003,06:01:00,06:02:00,6
T102B_WD,SJO001,06:05:00,06:05:00,7
T102A_SA,SJO001,06:00:00,06:00:00,1
T102A_SA,SJO003,06:05:00,06:06:00,2
T102A_SA,SJO005,06:09:00,06:10:00,3
T102A_SA,DESA004,06:14:00,06:15:00,4
T102A_SA,DESA005,06:19:00,06:20:00,5
T102A_SA,DESA001,06:25:00,06:25:00,6
T102B_SA,DESA001,06:45:00,06:45:00,1
T102B_SA,DESA005,06:50:00,06:51:00,2
T102B_SA,DESA004,06:54:00,06:55:00,3
T102B_SA,SJO005,06:59:00,07:00:00,4
T102B_SA,SJO001,07:05:00,07:05:00,5
T103A_WD,SJO001,05:30:00,05:30:00,1
T103A_WD,INT009,05:34:00,05:35:00,2
T103A_WD,SJO015,05:37:00,05:38:00,3
T103A_WD,SJO014,05:40:00,05:41:00,4
T103A_WD,ESC004,05:44:00,05:45:00,5
T103A_WD,ESC001,05:48:00,05:48:00,6
T103B_WD,ESC001,06:00:00,06:00:00,1
T103B_WD,ESC004,06:04:00,06:05:00,2
T103B_WD,SJO014,06:08:00,06:09:00,3
T103B_WD,SJO015,06:11:00,06:12:00,4
T103B_WD,INT009,06:15:00,06:16:00,5
T103B_WD,SJO001,06:20:00,06:20:00,6
T103A_SA,SJO001,06:15:00,06:15:00,1
T103A_SA,INT009,06:22:00,06:23:00,2
T103A_SA,SJO014,06:28:00,06:29:00,3
T103A_SA,ESC004,06:34:00,06:35:00,4
T103A_SA,ESC001,06:40:00,06:40:00,5
T103B_SA,ESC001,07:00:00,07:00:00,1
T103B_SA,ESC004,07:05:00,07:06:00,2
T103B_SA,SJO014,07:10:00,07:11:00,3
T103B_SA,SJO001,07:20:00,07:20:00,4
T104A_WD,SJO001,05:15:00,05:15:00,1
T104A_WD,SJO015,05:19:00,05:20:00,2
T104A_WD,SJO014,05:23:00,05:24:00,3
T104A_WD,ESC004,05:27:00,05:28:00,4
T104A_WD,STA002,05:32:00,05:33:00,5
T104A_WD,STA001,05:36:00,05:36:00,6
T104B_WD,STA001,05:50:00,05:50:00,1
T104B_WD,STA002,05:54:00,05:55:00,2
T104B_WD,ESC004,05:59:00,06:00:00,3
T104B_WD,SJO014,06:04:00,06:05:00,4
T104B_WD,SJO015,06:08:00,06:09:00,5
T104B_WD,SJO001,06:14:00,06:14:00,6
T104A_SA,SJO001,06:30:00,06:30:00,1
T104A_SA,SJO015,06:36:00,06:37:00,2
T104A_SA,STA002,06:45:00,06:46:00,3
T104A_SA,STA001,06:52:00,06:52:00,4
T104B_SA,STA001,07:15:00,07:15:00,1
T104B_SA,STA002,07:20:00,07:21:00,2
T104B_SA,SJO015,07:28:00,07:29:00,3
T104B_SA,SJO001,07:36:00,07:36:00,4
T305A_WD,SJO001,05:00:00,05:00:00,1
T305A_WD,SJO004,05:05:00,05:06:00,2
T305A_WD,INT003,05:12:00,05:13:00,3
T305A_WD,PUR004,05:22:00,05:23:00,4
T305A_WD,PUR003,05:32:00,05:33:00,5
T305A_WD,PUR005,05:42:00,05:43:00,6
T305A_WD,PUR001,05:55:00,05:55:00,7
T305B_WD,PUR001,06:15:00,06:15:00,1
T305B_WD,PUR005,06:25:00,06:26:00,2
T305B_WD,PUR003,06:35:00,06:36:00,3
T305B_WD,PUR004,06:45:00,06:46:00,4
T305B_WD,INT003,06:55:00,06:56:00,5
T305B_WD,SJO004,07:05:00,07:06:00,6
T305B_WD,SJO001,07:12:00,07:12:00,7
T305A_SA,SJO001,06:30:00,06:30:00,1
T305A_SA,PUR004,07:00:00,07:01:00,2
T305A_SA,PUR003,07:15:00,07:16:00,3
T305A_SA,PUR001,07:35:00,07:35:00,4
T305B_SA,PUR001,08:00:00,08:00:00,1
T305B_SA,PUR003,08:15:00,08:16:00,2
T305B_SA,PUR004,08:30:00,08:31:00,3
T305B_SA,SJO001,09:00:00,09:00:00,4
T106A_WD,SJO001,05:45:00,05:45:00,1
T106A_WD,INT010,05:49:00,05:50:00,2
T106A_WD,SPD002,05:53:00,05:54:00,3
T106A_WD,SPD001,05:56:00,05:57:00,4
T106A_WD,SJO006,05:59:00,06:00:00,5
T106A_WD,SJO007,06:02:00,06:03:00,6
T106B_WD,SJO007,06:10:00,06:10:00,1
T106B_WD,SJO006,06:13:00,06:14:00,2
T106B_WD,SPD001,06:16:00,06:17:00,3
T106B_WD,SPD002,06:19:00,06:20:00,4
T106B_WD,INT010,06:23:00,06:24:00,5
T106B_WD,SJO001,06:27:00,06:27:00,6
T106A_SA,SJO001,06:30:00,06:30:00,1
T106A_SA,SPD002,06:38:00,06:39:00,2
T106A_SA,SPD001,06:42:00,06:43:00,3
T106A_SA,SJO007,06:47:00,06:47:00,4
T106B_SA,SJO007,07:00:00,07:00:00,1
T106B_SA,SPD001,07:04:00,07:05:00,2
T106B_SA,SPD002,07:08:00,07:09:00,3
T106B_SA,SJO001,07:16:00,07:16:00,4
T401A_WD,ALA001,06:00:00,06:00:00,1
T401A_WD,ALA002,06:04:00,06:05:00,2
T401A_WD,ALA005,06:08:00,06:09:00,3
T401A_WD,INT001,06:14:00,06:15:00,4
T401A_WD,INT007,06:18:00,06:19:00,5
T401A_WD,HER007,06:22:00,06:23:00,6
T401A_WD,HER002,06:25:00,06:26:00,7
T401A_WD,HER001,06:28:00,06:28:00,8
T401B_WD,HER001,06:35:00,06:35:00,1
T401B_WD,HER002,06:38:00,06:39:00,2
T401B_WD,HER007,06:41:00,06:42:00,3
T401B_WD,INT007,06:45:00,06:46:00,4
T401B_WD,INT001,06:49:00,06:50:00,5
T401B_WD,ALA005,06:55:00,06:56:00,6
T401B_WD,ALA001,07:02:00,07:02:00,7
T401A_SA,ALA001,07:00:00,07:00:00,1
T401A_SA,ALA005,07:10:00,07:11:00,2
T401A_SA,INT001,07:18:00,07:19:00,3
T401A_SA,HER001,07:30:00,07:30:00,4
T401B_SA,HER001,07:45:00,07:45:00,1
T401B_SA,INT001,07:55:00,07:56:00,2
T401B_SA,ALA005,08:03:00,08:04:00,3
T401B_SA,ALA001,08:12:00,08:12:00,4
T302A_WD,CAR001,06:00:00,06:00:00,1
T302A_WD,CAR008,06:05:00,06:06:00,2
T302A_WD,CAR007,06:15:00,06:16:00,3
T302A_WD,CAR006,06:40:00,06:40:00,4
T302B_WD,CAR006,07:15:00,07:15:00,1
T302B_WD,CAR007,07:40:00,07:41:00,2
T302B_WD,CAR008,07:50:00,07:51:00,3
T302B_WD,CAR001,07:58:00,07:58:00,4
T302A_SA,CAR001,07:00:00,07:00:00,1
T302A_SA,CAR008,07:08:00,07:09:00,2
T302A_SA,CAR006,07:40:00,07:40:00,3
T302B_SA,CAR006,08:30:00,08:30:00,1
T302B_SA,CAR008,09:05:00,09:06:00,2
T302B_SA,CAR001,09:15:00,09:15:00,3
T202A_WD,HER001,06:00:00,06:00:00,1
T202A_WD,HER005,06:04:00,06:05:00,2
T202A_WD,HER006,06:10:00,06:10:00,3
T202B_WD,HER006,06:20:00,06:20:00,1
T202B_WD,HER005,06:25:00,06:26:00,2
T202B_WD,HER001,06:30:00,06:30:00,3
T202A_SA,HER001,07:00:00,07:00:00,1
T202A_SA,HER005,07:06:00,07:07:00,2
T202A_SA,HER006,07:15:00,07:15:00,3
T202B_SA,HER006,07:30:00,07:30:00,1
T202B_SA,HER005,07:36:00,07:37:00,2
T202B_SA,HER001,07:42:00,07:42:00,3
T107A_WD,SJO001,05:30:00,05:30:00,1
T107A_WD,SJO002,05:34:00,05:35:00,2
T107A_WD,SJO009,05:38:00,05:39:00,3
T107A_WD,GUA002,05:41:00,05:42:00,4
T107A_WD,GUA001,05:44:00,05:44:00,5
T107B_WD,GUA001,05:50:00,05:50:00,1
T107B_WD,GUA002,05:53:00,05:54:00,2
T107B_WD,SJO009,05:56:00,05:57:00,3
T107B_WD,SJO002,06:00:00,06:01:00,4
T107B_WD,SJO001,06:04:00,06:04:00,5
T107A_SA,SJO001,06:30:00,06:30:00,1
T107A_SA,SJO009,06:37:00,06:38:00,2
T107A_SA,GUA001,06:43:00,06:43:00,3
T107B_SA,GUA001,07:00:00,07:00:00,1
T107B_SA,SJO009,07:06:00,07:07:00,2
T107B_SA,SJO001,07:12:00,07:12:00,3
T108A_WD,SJO001,05:20:00,05:20:00,1
T108A_WD,INT006,05:24:00,05:25:00,2
T108A_WD,SJO010,05:28:00,05:29:00,3
T108A_WD,TIB001,05:31:00,05:31:00,4
T108B_WD,TIB001,05:40:00,05:40:00,1
T108B_WD,SJO010,05:43:00,05:44:00,2
T108B_WD,INT006,05:47:00,05:48:00,3
T108B_WD,SJO001,05:52:00,05:52:00,4
T108A_SA,SJO001,06:30:00,06:30:00,1
T108A_SA,SJO010,06:38:00,06:39:00,2
T108A_SA,TIB001,06:43:00,06:43:00,3
T108B_SA,TIB001,07:00:00,07:00:00,1
T108B_SA,SJO010,07:04:00,07:05:00,2
T108B_SA,SJO001,07:10:00,07:10:00,3
T109A_WD,SJO001,05:25:00,05:25:00,1
T109A_WD,INT010,05:29:00,05:30:00,2
T109A_WD,INT003,05:35:00,05:36:00,3
T109A_WD,GOI003,05:40:00,05:41:00,4
T109A_WD,GOI002,05:44:00,05:45:00,5
T109A_WD,GOI001,05:47:00,05:47:00,6
T109A_WD,SJO011,05:50:00,05:50:00,7
T109B_WD,SJO011,06:00:00,06:00:00,1
T109B_WD,GOI001,06:03:00,06:04:00,2
T109B_WD,GOI002,06:06:00,06:07:00,3
T109B_WD,GOI003,06:09:00,06:10:00,4
T109B_WD,INT003,06:14:00,06:15:00,5
T109B_WD,INT010,06:20:00,06:21:00,6
T109B_WD,SJO001,06:25:00,06:25:00,7
T109A_SA,SJO001,06:45:00,06:45:00,1
T109A_SA,INT003,06:55:00,06:56:00,2
T109A_SA,GOI001,07:02:00,07:03:00,3
T109A_SA,SJO011,07:08:00,07:08:00,4
T109B_SA,SJO011,07:20:00,07:20:00,1
T109B_SA,GOI001,07:24:00,07:25:00,2
T109B_SA,INT003,07:30:00,07:31:00,3
T109B_SA,SJO001,07:38:00,07:38:00,4
T501A_WD,SJO001,05:00:00,05:00:00,1
T501A_WD,SJO004,05:04:00,05:05:00,2
T501A_WD,INT010,05:08:00,05:09:00,3
T501A_WD,INT003,05:15:00,05:16:00,4
T501A_WD,CAR004,05:25:00,05:26:00,5
T501A_WD,CAR001,05:40:00,05:41:00,6
T501A_WD,LIM004,07:10:00,07:11:00,7
T501A_WD,LIM003,07:40:00,07:41:00,8
T501A_WD,LIM002,08:20:00,08:21:00,9
T501A_WD,LIM001,09:00:00,09:00:00,10
T501B_WD,LIM001,10:00:00,10:00:00,1
T501B_WD,LIM002,10:30:00,10:31:00,2
T501B_WD,LIM003,11:00:00,11:01:00,3
T501B_WD,LIM004,11:30:00,11:31:00,4
T501B_WD,CAR001,12:40:00,12:41:00,5
T501B_WD,CAR004,12:55:00,12:56:00,6
T501B_WD,INT003,13:10:00,13:11:00,7
T501B_WD,INT010,13:20:00,13:21:00,8
T501B_WD,SJO004,13:27:00,13:28:00,9
T501B_WD,SJO001,13:32:00,13:32:00,10
T110A_WD,SJO001,05:30:00,05:30:00,1
T110A_WD,SJO002,05:34:00,05:35:00,2
T110A_WD,SJO009,05:38:00,05:39:00,3
T110A_WD,INT007,05:42:00,05:43:00,4
T110A_WD,MOR001,05:46:00,05:46:00,5
T110A_WD,MOR002,05:49:00,05:49:00,6
T110B_WD,MOR002,05:55:00,05:55:00,1
T110B_WD,MOR001,05:58:00,05:59:00,2
T110B_WD,INT007,06:02:00,06:03:00,3
T110B_WD,SJO009,06:06:00,06:07:00,4
T110B_WD,SJO002,06:10:00,06:11:00,5
T110B_WD,SJO001,06:14:00,06:14:00,6
T110A_SA,SJO001,06:30:00,06:30:00,1
T110A_SA,SJO009,06:38:00,06:39:00,2
T110A_SA,MOR001,06:46:00,06:46:00,3
T110B_SA,MOR001,07:00:00,07:00:00,1
T110B_SA,SJO009,07:08:00,07:09:00,2
T110B_SA,SJO001,07:16:00,07:16:00,3
T111A_WD,SJO001,05:30:00,05:30:00,1
T111A_WD,INT010,05:34:00,05:35:00,2
T111A_WD,SPD002,05:38:00,05:39:00,3
T111A_WD,MON001,05:41:00,05:42:00,4
T111A_WD,MON002,05:44:00,05:44:00,5
T111B_WD,MON002,05:50:00,05:50:00,1
T111B_WD,MON001,05:53:00,05:54:00,2
T111B_WD,SPD002,05:56:00,05:57:00,3
T111B_WD,INT010,06:00:00,06:01:00,4
T111B_WD,SJO001,06:05:00,06:05:00,5
T111A_SA,SJO001,06:30:00,06:30:00,1
T111A_SA,SPD002,06:38:00,06:39:00,2
T111A_SA,MON001,06:42:00,06:43:00,3
T111B_SA,MON001,07:00:00,07:00:00,1
T111B_SA,SPD002,07:04:00,07:05:00,2
T111B_SA,SJO001,07:10:00,07:10:00,3
T112A_WD,HER001,05:30:00,05:30:00,1
T112A_WD,HER003,05:34:00,05:35:00,2
T112A_WD,INT008,05:40:00,05:41:00,3
T112A_WD,INT009,05:46:00,05:47:00,4
T112A_WD,SJO001,05:52:00,05:52:00,5
T112B_WD,SJO001,06:00:00,06:00:00,1
T112B_WD,INT009,06:06:00,06:07:00,2
T112B_WD,INT008,06:12:00,06:13:00,3
T112B_WD,HER003,06:18:00,06:19:00,4
T112B_WD,HER001,06:24:00,06:24:00,5
T112A_SA,HER001,07:00:00,07:00:00,1
T112A_SA,INT008,07:10:00,07:11:00,2
T112A_SA,SJO001,07:20:00,07:20:00,3
T112B_SA,SJO001,07:30:00,07:30:00,1
T112B_SA,INT008,07:40:00,07:41:00,2
T112B_SA,HER001,07:50:00,07:50:00,3
